N,base_version,unrolling,blocking,blocking2,blocking3
500,615689.000000,520760.000000,588934.000000,587377.000000,295892.000000
1000,2911754.000000,2260577.000000,2343962.000000,2324270.000000,1136879.000000
1500,9518173.000000,8114588.000000,8584735.000000,8552960.000000,5817349.000000
2000,17566809.000000,13938828.000000,13470005.000000,14219342.000000,8729965.000000
2500,30302846.000000,24419173.000000,24992389.000000,24964663.000000,16934911.000000
3000,42579868.000000,36795084.000000,36452599.000000,36280430.000000,25329544.000000
3500,63328850.000000,50998163.000000,49408741.000000,49289563.000000,34009367.000000
4000,105716439.000000,97852880.000000,56829531.000000,56563723.000000,40526155.000000
4500,105343466.000000,84479237.000000,82031752.000000,82017848.000000,56558426.000000
5000,127735509.000000,115566709.000000,100697294.000000,98118751.000000,68997054.000000
5500,164935338.000000,133556725.000000,123658382.000000,123623676.000000,86035424.000000
6000,192573473.000000,171553384.000000,135826656.000000,135882074.000000,93749279.000000
6500,239971213.000000,195813389.000000,173566762.000000,173419697.000000,120092527.000000
7000,275576011.000000,241632314.000000,202268010.000000,202129237.000000,144609956.000000
7500,333629131.000000,269061543.000000,229611642.000000,229648688.000000,160865659.000000
8000,578945306.000000,500847835.000000,246652093.000000,246624994.000000,177219849.000000
8500,441575595.000000,355413321.000000,295316460.000000,295094660.000000,206052473.000000
9000,478616803.000000,388192921.000000,334296495.000000,334287477.000000,238399546.000000
9500,548384487.000000,447568801.000000,370018595.000000,369355302.000000,259558512.000000
10000,587313775.000000,466282086.000000,389835552.000000,388711365.000000,268216525.000000